
"ID_TRANSACCION_ORGANISMO","PROVIDER","TIPO_TARJETA","NUMERO_SERIE_HEX","FECHA_HORA_TRANSACCION","LINEA","ESTACION","AUTOBUS","RUTA","EQUIPO","TIPO_EQUIPO","LOCATION_ID","TIPO_TRANSACCION","SALDO_ANTES_TRANSACCION","MONTO_TRANSACCION","SALDO_DESPUES_TRANSACCION","PERFIL1","PERFIL2","PERFIL3","SAM_SERIAL_HEX_ULTIMA_RECARGA","SAM_SERIAL_HEX","CONTADOR_RECARGAS","CONTADOR_VALIDACIONES","EVENT_LOG","LOAD_LOG","PURCHASE_LOG","MAC","COUNTER_VALUE","COUNTER_AMOUNT","SAM_COUNTER","ENVIRONMENT","ENVIRONMENT_ISSUER_ID","CONTRACT","CONTRACT_TARIFF","CONTRACT_SALE_SAM","CONTRACT_RESTRICT_TIME","CONTRACT_VALIDITY_START_DATE","CONTRACT_VALIDITY_DURATION"
"74366044","15","1","00000000C34A8E93","2024-06-16 08:07:18","12","","1C","10","01","4","12141C","03","900","800","100","0","  0","  0","AE1294DC","AEC426C3","","1.706","01FFFF8503011512141C33A4F4360003201512141C33A4F43601010000","","00000000000000000000000000000000000000000000000000000000000000C0038E52E5376EF2000064FCE0272C01E7C0AEC426C30006AA000064038E","000000000000000000000000000003CEF4FBA81422076E00069B4D9129E8992AD06F","000000","000000","003232","1484013200000001209D2EE20000010100000000000000000000000000","32","01011F623F0132818000000000000000209DAE10D151003232C4B3069D","1","AE10D151","00","2019-11-11 00:00:00","63"
"74367370","15","1","00000000945E0775","2024-06-16 09:09:21","12","","1C","40","01","4","12441C","03","8200","800","7400","0","  0","  0","AE10D26A","AEC426C3","","1.707","0100003B03011512441C33A502C10003201512441C33A502C101010000","","00000000000000000000000000000000000000000000000000000000000000C002D4C33C0939B9001CE8FCE0272C0225C0AEC426C30006AB001CE802D4","0000000000000000000000000000038510505367520CEC00069C6BAC592DFEB3DACB","000000","000000","001E8A","1484013C12345678221230550000010101000000000000000000000000","3C","01011DED3F013C8180000000000000002212AEC31458001E8AC428DE32","1","AEC31458","00","2020-11-18 00:00:00","63"
"74367504","15","1","0000000093DC6E88","2024-06-16 09:15:18","12","","1C","40","01","4","12441C","03","2440","800","1640","0","  0","  0","AEC40B82","AEC426C3","","1.708","0100002F03011512441C33A504260003201512441C33A5042601010000","","00000000000000000000000000000000000000000000000000000000000000C005221AB8527A3E000668FCE0272C022BC0AEC426C30006AC0006680522","000000000000000000000000000003E266A8C6FBECDD1800069D009EBBFAE7684D62","000000","000000","00094A","1484013212345678205A2E9E0000010101000000000000000000000000","32","01011FA53F0132818000000000000000205AAE10D0B000094AC4AB1DCC","1","AE10D0B0","00","2019-09-05 00:00:00","63"
"74371545","15","1","000000007C0CDAD8","2024-06-16 13:24:43","12","","1C","40","01","4","12441C","03","2100","800","1300","0","  0","  0","AEC4096D","AEC426C3","","1.709","0100009A03011512441C33A53E9B0003201512441C33A53E9B01010000","","00000000000000000000000000000000000000000000000000000000000000C0009652F80C20B8000514FCE0272C0324C0AEC426C30006AD0005140096","0000000000000000000000000000031CD0D675500FB7B100069EA3DD31BF18BF8187","000000","000000","00369E","1484013200000000256133A60000000000000000000000000000000000","32","010119C63F01328180000000000000002639AE10D11100369EC4985602","1","AE10D111","00","2023-10-17 00:00:00","63"
"74376579","15","1","000000000700FE15","2024-06-16 18:24:10","12","","1C","30","01","4","12341C","03","7300","800","6500","0","  0","  0","AE10E1D8","AEC426C3","","1.710","0100000503011512341C33A584CA0003201512341C33A584CA01010000","","00000000000000000000000000000000000000000000000000000000000000C0000516D535098B001964FCE0272C0450C0AEC426C30006AE0019640005","00000000000000000000000000000319E64995579018C400069F83D7B23CB2259EC4","000000","000000","000404","1484010100000000267434B90000000000000000000000000000000000","01","010118D43C0101818000000000000000272BAE10E1D8000404C4495CB0","1","AE10E1D8","00","2024-06-15 00:00:00","60"
"74376581","15","1","000000000700FE15","2024-06-16 18:24:12","12","","1C","30","01","4","12341C","03","6500","800","5700","0","  0","  0","AE10E1D8","AEC426C3","","1.711","0100000603011512341C33A584CC0003201512341C33A584CC01010000","","00000000000000000000000000000000000000000000000000000000000000C00006AFC3467BFE001644FCE0272C0450C0AEC426C30006AF0016440006","0000000000000000000000000000031EE2C0781978EDF40006A0EBD0FB2741325543","000000","000000","000404","1484010100000000267434B90000000000000000000000000000000000","01","010118D43C0101818000000000000000272BAE10E1D8000404C4495CB0","1","AE10E1D8","00","2024-06-15 00:00:00","60"
"74376583","15","1","000000000700FE15","2024-06-16 18:24:15","12","","1C","30","01","4","12341C","03","5700","800","4900","0","  0","  0","AE10E1D8","AEC426C3","","1.712","0100000703011512341C33A584CF0003201512341C33A584CF01010000","","00000000000000000000000000000000000000000000000000000000000000C000078007F3570A001324FCE0272C0450C0AEC426C30006B00013240007","00000000000000000000000000000339FE7D0EF87E633B0006A1E89B1780CCF76AE1","000000","000000","000404","1484010100000000267434B90000000000000000000000000000000000","01","010118D43C0101818000000000000000272BAE10E1D8000404C4495CB0","1","AE10E1D8","00","2024-06-15 00:00:00","60"
"74376761","15","1","0000000094353EA1","2024-06-16 18:31:00","12","","1C","30","01","4","12041C","51","","","","0","  0","  0","","","","","","","","00000000000000000000000000000000000000000000000000000000000000000000","000000","000000","","","","","","","","",""
"74378018","15","1","00000000C33E0B21","2024-06-16 19:29:39","12","","1C","30","01","4","12341C","03","4500","800","3700","0","  0","  0","AEC4096E","AEC426C3","","1.713","0100004403011512341C33A594230003201512341C33A5942301010000","","00000000000000000000000000000000000000000000000000000000000000C0004EB5623606A8000E74FCE0272C0491C0AEC426C30006B1000E74004E","00000000000000000000000000000378BDD1A38C7C944B0006A254A27229F7EF555F","000000","000000","001EB6","148401320000000120842EC90000010100000000000000000000000000","32","01011F7B3F01328180000000000000002084AE10D0F2001EB6C46ECADA","1","AE10D0F2","00","2019-10-17 00:00:00","63"
"74378020","15","1","00000000C33E0B21","2024-06-16 19:29:42","12","","1C","30","01","4","12341C","03","3700","800","2900","0","  0","  0","AEC4096E","AEC426C3","","1.714","0100004503011512341C33A594260003201512341C33A5942601010000","","00000000000000000000000000000000000000000000000000000000000000C0004F875F5FB95B000B54FCE0272C0491C0AEC426C30006B2000B54004F","000000000000000000000000000003216AFC96231A70F90006A32EC0382C0181911A","000000","000000","001EB6","148401320000000120842EC90000010100000000000000000000000000","32","01011F7B3F01328180000000000000002084AE10D0F2001EB6C46ECADA","1","AE10D0F2","00","2019-10-17 00:00:00","63"
