
"ID_TRANSACCION_ORGANISMO","PROVIDER","TIPO_TARJETA","NUMERO_SERIE_HEX","FECHA_HORA_TRANSACCION","LINEA","ESTACION","AUTOBUS","RUTA","EQUIPO","TIPO_EQUIPO","LOCATION_ID","TIPO_TRANSACCION","SALDO_ANTES_TRANSACCION","MONTO_TRANSACCION","SALDO_DESPUES_TRANSACCION","PERFIL1","PERFIL2","PERFIL3","SAM_SERIAL_HEX_ULTIMA_RECARGA","SAM_SERIAL_HEX","CONTADOR_RECARGAS","CONTADOR_VALIDACIONES","EVENT_LOG","LOAD_LOG","PURCHASE_LOG","MAC","COUNTER_VALUE","COUNTER_AMOUNT","SAM_COUNTER","ENVIRONMENT","ENVIRONMENT_ISSUER_ID","CONTRACT","CONTRACT_TARIFF","CONTRACT_SALE_SAM","CONTRACT_RESTRICT_TIME","CONTRACT_VALIDITY_START_DATE","CONTRACT_VALIDITY_DURATION"
"123307522","15","1","00000000058CEB4E","2024-10-16 08:49:24","12","","8E","20","01","4","12248E","03","3300","800","2500","0","  0","  0","AEC4096B","AEC426C1","","3,378","0100002A03011512248E3445D5140003201512248E3445D51401010000","","00000000000000000000000000000000000000000000000000000000000000C0002B9DA8E237840009C4FCE027A60211C0AEC426C1000D320009C4002B","000000000000000000000000000003C458A95DD308ABE0000D0E06D19BD3B90FE870","000000","000000","00440D","1484015A0000000025BC34010000000000000000000000000000000000","5A","010119513F013281800000000000000026AEAE10D0CA00440DC4C72217","1","AE10D0CA","00","2024-02-11 00:00:00","63"
"123307524","15","1","00000000058CEB4E","2024-10-16 08:49:25","12","","8E","20","01","4","12248E","03","2500","800","1700","0","  0","  0","AEC4096B","AEC426C1","","3,379","0100002B03011512248E3445D5150003201512248E3445D51501010000","","00000000000000000000000000000000000000000000000000000000000000C0002C2A6D78EDA90006A4FCE027A60211C0AEC426C1000D330006A4002C","0000000000000000000000000000032703D0FD1C64298A000D0F3D886A7CF700270D","000000","000000","00440D","1484015A0000000025BC34010000000000000000000000000000000000","5A","010119513F013281800000000000000026AEAE10D0CA00440DC4C72217","1","AE10D0CA","00","2024-02-11 00:00:00","63"
"123307526","15","1","00000000C8C45414","2024-10-16 08:49:30","12","","8E","20","01","4","12248E","03","2100","800","1300","0","  0","  0","AE10D21E","AEC426C1","","3,380","0100005403011512248E3445D51A0003201512248E3445D51A01010000","","00000000000000000000000000000000000000000000000000000000000000C000542826B9F060000514FCE027A60211C0AEC426C1000D340005140054","000000000000000000000000000003CFA89AF62F3322DB000D1008A02EA6560F19DE","000000","000000","0066EE","1484013200000000264A348E0000010101000000000000000000000000","32","0101198F3F01328180000000000000002670AE10D21E0066EEC45D41C0","1","AE10D21E","00","2023-12-11 00:00:00","63"
"123307528","15","1","00000000C33C90EF","2024-10-16 08:50:06","12","","8E","20","01","4","12248E","03","6800","800","6000","0","  0","  0","AE123301","AEC426C1","","3,381","0100007D03011512248E3445D53E0003201512248E3445D53E01010000","","00000000000000000000000000000000000000000000000000000000000000C008566E07AB5DA4001770FCE027A60212C0AEC426C1000D350017700856","0000000000000000000000000000033F472886011A18F6000D11CD58C35E7E9DAB67","000000","000000","0062B1","1484013200000001207C2EC10000010100000000000000000000000000","32","01011F833F0132818000000000000000207CAEC283FE0062B1C4224419","1","AEC283FE","00","2019-10-09 00:00:00","63"
"123307530","15","1","000000007C3AE05E","2024-10-16 08:50:37","12","","8E","20","01","4","12248E","03","1000","800","200","0","  0","  0","AEC29B13","AEC426C1","","3,382","0100006D03011512248E3445D55D0003201512248E3445D55D01010000","","00000000000000000000000000000000000000000000000000000000000000C0006D6903CA465E0000C8FCE027A60212C0AEC426C1000D360000C8006D","000000000000000000000000000003E3BA1EB029CF297E000D125FACB4C1E49461BB","000000","000000","017A8D","1484013200000000268634CB0000000000000000000000000000000000","32","010118EB3F01328180000000000000002714AE10D0C4017A8DC4E264E4","1","AE10D0C4","00","2024-05-23 00:00:00","63"
"123382722","15","1","00000000053D545A","2024-10-16 09:39:29","12","","8E","20","01","4","12248E","03","1700","800","900","0","  0","  0","AE10D16F","AEC426C1","","3,383","0100001B03011512248E3445E0D10003201512248E3445E0D101010000","","00000000000000000000000000000000000000000000000000000000000000C00516BAD2976FD9000384FCE027A60243C0AEC426C1000D370003840516","00000000000000000000000000000382CF4EC615C80B97000D13D69730A0BE9F2CAE","000000","000000","04A709","1484010100000000250133460000000000000000000000000000000000","01","01011AFE3F01018180000000000000002501AEC2841F04A709C4E67B3A","1","AEC2841F","00","2022-12-09 00:00:00","63"
"123456316","15","1","000000007C9EDBC5","2024-10-16 09:58:02","12","","06","20","01","4","122406","03","1500","800","700","0","  0","  0","AE10D25D","AEC426C0","","2,853","0100001F0301151224063445E52A000320151224063445E52A01010000","","00000000000000000000000000000000000000000000000000000000000000C0001F270C5BC6120002BCFCE027A60256C0AEC426C0000B250002BC001F","000000000000000000000000000003878DCFA786C4B6FB000B0848D83EE0D9320D4F","000000","000000","007F13","148401320000000026E135250000000000000000000000000000000000","32","0101189F3C01328180000000000000002760AE10D109007F13C454831B","1","AE10D109","00","2024-08-07 00:00:00","60"
"123456322","15","1","000000007C98AC96","2024-10-16 10:17:17","12","","06","20","01","4","122406","03","38900","800","38100","0","  0","  0","AEC4096D","AEC426C0","","2,854","010000690301151224063445E9AD000320151224063445E9AD01010000","","00000000000000000000000000000000000000000000000000000000000000C00067DE997431AA0094D4FCE027A60269C0AEC426C0000B260094D40067","000000000000000000000000000003CBD8B017FA1A2E45000B093D7EA6BE31F740CD","000000","000000","00C4C8","148401320000000026CC35100000000000000000000000000000000000","32","010118D43F0132818000000000000000272BAE10D20300C4C8C432214E","1","AE10D203","00","2024-06-15 00:00:00","63"
"123456324","15","1","000000007C98AC96","2024-10-16 10:17:19","12","","06","20","01","4","122406","03","38100","800","37300","0","  0","  0","AEC4096D","AEC426C0","","2,855","0100006A0301151224063445E9AF000320151224063445E9AF01010000","","00000000000000000000000000000000000000000000000000000000000000C00068BCED7E711E0091B4FCE027A60269C0AEC426C0000B270091B40068","00000000000000000000000000000399AB0CB5DA89F977000B0A6B090634E10665F5","000000","000000","00C4C8","148401320000000026CC35100000000000000000000000000000000000","32","010118D43F0132818000000000000000272BAE10D20300C4C8C432214E","1","AE10D203","00","2024-06-15 00:00:00","63"
"123456376","15","1","000000007C09493D","2024-10-16 11:21:17","12","","06","20","01","4","122406","03","1100","800","300","0","  0","  0","AEC43BFF","AEC426C0","","2,856","0100000B0301151224063445F8AD000320151224063445F8AD01010000","","00000000000000000000000000000000000000000000000000000000000000C0000BB94F4031D900012CFCE027A602A9C0AEC426C0000B2800012C000B","0000000000000000000000000000032419E461321EB65D000B0B1EE651C49E48ABF4","000000","000000","0035BB","1484013200000000256133A60000000000000000000000000000000000","32","010119D03F0132818000000000000000262FAE10D1B30035BBC426A215","1","AE10D1B3","00","2023-10-07 00:00:00","63"
